Organisaatio,Y-tunnus,Myöntämisvuosi,Avustus €,Laina €,EAKR-rahoitus €,Tutkimusrahoitus €,Yhteensä €
24 Center Oy,2774786-8,2021,0,480 200,0,0,480 200
24 Center Oy,2774786-8,2022,20 000,0,0,0,20 000
24 Housing Oy,1749657-5,2020,10 000,0,0,0,10 000
24 Pesula Oy,1562325-1,2014,0,178 000,0,0,178 000
24 Pesula Oy,1562325-1,2017,62 425,226 842,0,0,289 267
24 Rental Network Oy,2430020-0,2020,109 984,0,0,0,109 984
24 Seiska Oy,2937845-3,2019,6 200,0,0,0,6 200
24 Sport Oy,3303255-1,2024,4 500,0,0,0,4 500
24 Tuote Oy,2728786-5,2021,4 960,0,0,0,4 960
24games Oy,2679981-8,2020,110 000,0,0,0,110 000
24Mags Oy,2553331-3,2014,0,124 000,0,0,124 000
24Mags Oy,2553331-3,2016,92 600,0,0,0,92 600
27 Crags Oy,2208432-1,2016,33 550,0,0,0,33 550
27 Crags Oy,2208432-1,2020,0,196 000,0,0,196 000
27 Crags Oy,2208432-1,2022,5 000,0,0,0,5 000
27 Crags Oy,2208432-1,2025,20 000,0,0,0,20 000
48 Astetta Oy,2801089-2,2019,6 200,0,0,0,6 200
48 Astetta Oy,2801089-2,2020,110 000,0,0,0,110 000
50 Shades of Beauty Oy,3097272-4,2020,89 000,0,0,0,89 000
51NGL3 Company Oy,2470778-0,2016,7 500,0,0,0,7 500
51NGL3 Company Oy,2470778-0,2017,42 500,0,0,0,42 500
70/30 Digital Oy,3210008-1,2023,6 000,0,0,0,6 000
70/30 Digital Oy,3210008-1,2025,60 000,0,0,0,60 000
73Health Oy,3287119-3,2022,5 000,0,0,0,5 000
80/20 Consulting Oy,2192797-2,2017,6 200,0,0,0,6 200
88 Eats Oy,2850036-5,2021,4 960,0,0,0,4 960
88 Eats Oy,2850036-5,2022,20 000,0,0,0,20 000
88 Partners Oy,3001381-4,2020,10 000,0,0,0,10 000
99 Kotiruoka Oy,3016007-2,2020,10 000,0,0,0,10 000
100 Thousand Million Oy,3248679-7,2022,5 000,0,0,0,5 000
150 Beanies Oy,3220145-6,2022,5 000,0,0,0,5 000
150 Beanies Oy,3220145-6,2023,60 000,0,0,0,60 000
180ops Oy,3284022-3,2023,0,121 940,0,0,121 940
247 Eristys Oy,3013703-2,2020,10 000,0,0,0,10 000
247 Palvelut Oy,2933761-9,2020,10 000,0,0,0,10 000
247 Satakunnan Turvapalvelut Oy,2630610-4,2020,9 900,0,0,0,9 900
360 teek Oy,1827778-8,2018,6 200,0,0,0,6 200
360 teek Oy,1827778-8,2020,8 000,0,0,0,8 000
360 Virtual Reality Global Oy,2757572-8,2017,6 200,0,0,0,6 200
360 Virtual Sport oy,2905121-5,2018,6 200,0,0,0,6 200
360 Visualizer Oy,2529214-2,2013,99 500,0,0,0,99 500
360 Visualizer Oy,2529214-2,2015,0,199 000,0,0,199 000
360Finland Oy,3021100-1,2020,4 960,0,0,0,4 960
360Mediatalo Oy,2837307-9,2018,50 000,0,0,0,50 000
360Mediatalo Oy,2837307-9,2020,10 000,0,0,0,10 000
360Visualizer Oy,2529214-2,2018,250 000,144 500,0,0,394 500
360Visualizer Oy,2529214-2,2020,90 200,0,0,0,90 200
365 Training Solutions Oy,2728870-2,2016,50 000,0,0,0,50 000
490 Innovations Oy,2871927-9,2020,4 960,0,0,0,4 960
720 Degrees Oy,2512103-6,2014,48 800,0,0,0,48 800
720 Degrees Oy,2512103-6,2015,49 000,202 000,0,0,251 000
720 Degrees Oy,2512103-6,2016,250 000,0,0,0,250 000
720 Degrees Oy,2512103-6,2017,250 000,178 000,0,0,428 000
720 Degrees Oy,2512103-6,2019,0,750 000,0,0,750 000
720 Degrees Oy,2512103-6,2020,100 000,0,0,0,100 000
1001 Lakes Oy,2960382-5,2019,50 000,0,0,0,50 000
1016 Matti A. Muikku Oy,2575156-4,2020,7 200,0,0,0,7 200
1052 Tarja Hirvimäki-Ylinen Oy,2577531-2,2020,10 000,0,0,0,10 000
1080 Coaching Oy,3436538-2,2024,4 500,0,0,0,4 500
1090 Fishing Mapp Oy,2992708-8,2019,6 200,0,0,0,6 200
1193 Petri Leppänen Oy,2616928-5,2020,8 000,0,0,0,8 000
1365 Sanna Rautanen Oy,2681876-7,2020,8 400,0,0,0,8 400
1417 Jukka Päivärinta Oy,2701348-5,2020,8 000,0,0,0,8 000
1455AI Oy,3296772-6,2022,5 000,0,0,0,5 000
1554 Forsman ja Somoano Oy,2803919-3,2020,71 920,0,0,0,71 920
1571 Nina Suodenjoki Oy,2820839-9,2020,9 996,0,0,0,9 996
1575 Iina Makkonen Oy,2831141-7,2020,10 000,0,0,0,10 000
1691 OP Kiukkonen Oy,3085499-8,2020,10 000,0,0,0,10 000
1986 Lehtelä Oy,0625898-5,2020,10 000,0,0,0,10 000
020202 Palvelut Oy,2303781-8,2020,100 000,0,0,0,100 000
A & A Consulting Oy,1730759-4,2015,22 000,0,0,0,22 000
A & A Consulting Oy,1730759-4,2018,49 500,0,0,0,49 500
A & A Consulting Oy,1730759-4,2023,6 000,0,0,0,6 000
A & A Consulting Oy,1730759-4,2024,40 000,0,0,0,40 000
A & A Investors Oy,2609760-5,2016,6 200,0,0,0,6 200
A & A Optiikka Oy,2468515-5,2020,10 000,0,0,0,10 000
A & G Mining Oy,1784526-1,2019,6 200,0,0,0,6 200
A & J Nousiainen Oy,0398182-8,2020,2 268,0,0,0,2 268
A & K Finland Oy,1932028-2,2020,100 000,0,0,0,100 000
A & K Ryynänen Oy,0949135-2,2020,64 800,0,0,0,64 800
A & M Luostarinen Oy,2410913-1,2020,97 290,0,0,0,97 290
A & M Seppälä Oy,2230562-2,2020,54 480,0,0,0,54 480
A & P Taipale Oy,1764646-5,2020,9 984,0,0,0,9 984
A & S Kilpi Oy,2998694-2,2019,6 200,0,0,0,6 200
A Class Concepts Oy,2342234-5,2020,99 481,0,0,0,99 481
A Duuri Oy,3092964-6,2020,10 000,0,0,0,10 000
A Fredrikson Research & Consulting Oy,2658585-2,2018,6 200,0,0,0,6 200
A Hake Oy,1458724-4,2017,6 200,0,0,0,6 200
A La Carte Lapland Oy,1761846-4,2020,100 000,0,0,0,100 000
A Oreschnikoff Oy,2473282-0,2020,10 000,0,0,0,10 000
A Star Sub Oy,2681331-7,2020,10 000,0,0,0,10 000
A Sukitus Oy,2924431-6,2020,10 000,0,0,0,10 000
A Sähköistys Oy,2965793-8,2020,10 000,0,0,0,10 000
A Tempo Oy,1059618-6,2017,6 200,0,0,0,6 200
A Tempo Oy,1059618-6,2020,10 000,0,0,0,10 000
A to B Finland Oy,2330772-6,2010,100 000,0,0,0,100 000
A to B Finland Oy,2330772-6,2017,6 200,0,0,0,6 200
A to B Finland Oy,2330772-6,2020,75 000,0,0,0,75 000
A Weckman Oy,2728755-8,2020,81 600,0,0,0,81 600
A Yritys- ja isännöintipalvelut Oy,2421565-5,2019,6 200,0,0,0,6 200
A-A White Blue Consulting Oy,1444163-2,2020,10 000,0,0,0,10 000
A-Agentuuri Oy,0483938-0,2020,8 400,0,0,0,8 400
A-Autopalvelu Oy,2471609-7,2020,10 000,0,0,0,10 000
A-Films Japan,9999997-6,2017,199 743,0,0,0,199 743
A-flex Materials Oy,2677421-5,2015,180 000,0,0,0,180 000
A-Group Vaihtolavat Oy,1967044-2,2020,10 000,0,0,0,10 000
A-H Steel Oy,2632951-7,2020,99 225,0,0,0,99 225
A-Insinöörit Oy,1841818-1,2014,178 000,178 000,0,0,356 000
A-Insinöörit Oy,2922537-7,2021,8 000,0,0,0,8 000
A-Insinöörit Oy,2922537-7,2023,8 000,0,0,0,8 000
A-Insinöörit Oy,2922537-7,2024,10 000,0,0,0,10 000
A-Insinöörit Rakennuttaminen Oy,0794541-0,2016,250 000,0,0,0,250 000
A-Insinöörit Rakennuttaminen Oy,0794541-0,2017,0,0,0,0,0
A-Insinöörit Rakennuttaminen Oy,0794541-0,2018,200 000,0,0,0,200 000
A-Insinöörit Rakennuttaminen Oy,0794541-0,2019,1 193 500,0,0,0,1 193 500
A-Insinöörit Rakennuttaminen Oy,0794541-0,2022,787 200,0,0,0,787 200
A-Insinöörit Rakennuttaminen Oy,0794541-0,2024,237 400,0,0,0,237 400
A-Insinöörit Suunnittelu Oy,0211382-6,2012,129 000,0,0,0,129 000
A-Insinöörit Suunnittelu Oy,0211382-6,2014,64 400,0,0,0,64 400
A-Insinöörit Suunnittelu Oy,0211382-6,2015,94 500,0,0,0,94 500
A-Insinöörit Suunnittelu Oy,0211382-6,2017,101 383,0,0,0,101 383
A-Insinöörit Suunnittelu Oy,0211382-6,2020,200 000,0,0,0,200 000
A-J Automation Oy,1600327-3,2020,100 000,0,0,0,100 000
A-kassi Ky,0347182-8,2017,6 200,0,0,0,6 200
A-Katsastus Group Oy,1980440-4,2022,17 018,0,0,0,17 018
A-Katsastus Oy,1959705-4,2021,10 417,0,0,0,10 417
A-Katsastus Oy,1959705-4,2022,14 603,0,0,0,14 603
A-Katsastus Oy,1959705-4,2023,13 205,0,0,0,13 205
A-Kiinnike Oy,3347332-2,2023,60 000,0,0,0,60 000
A-klinikka Oy,2782671-8,2020,41 200,0,0,0,41 200
A-klinikkasäätiö,0200924-4,2013,99 800,0,0,0,99 800
A-Koulutus Oy,2956849-2,2022,5 000,0,0,0,5 000
A-Lab Oy,1573089-0,2010,38 321,0,0,0,38 321
A-Lab Oy,1573089-0,2011,39 692,0,0,0,39 692
A-Lab Oy,1573089-0,2012,38 890,0,0,0,38 890
A-Lab Oy,1573089-0,2013,43 299,0,0,0,43 299
A-Lab Oy,1573089-0,2014,44 631,0,0,0,44 631
A-Laiturit Oy,0911899-6,2016,4 800,0,0,0,4 800
A-Laiturit Oy,0911899-6,2020,100 000,0,0,0,100 000
A-lehdet Oy,1708790-7,2013,264 000,0,0,0,264 000
A-lehdet Oy,1708790-7,2014,71 587,0,0,0,71 587
A-lehdet Oy,1708790-7,2015,75 712,0,0,0,75 712
A-lehdet Oy,1708790-7,2016,725 000,0,0,0,725 000
A-osat Sastamala Oy,2877513-1,2020,19 480,0,0,0,19 480
A-Perustus Oy,2679234-1,2018,6 200,0,0,0,6 200
A-Perustus Oy,2679234-1,2020,110 000,0,0,0,110 000
A-PIPE OY,2350645-0,2020,9 900,0,0,0,9 900
A-plus House oy,2911001-9,2020,10 000,0,0,0,10 000
A-Profiware Oy,0648947-6,2019,5 115,0,0,0,5 115
A-Puu Oy,2083032-7,2021,4 960,0,0,0,4 960
A-Rengas Oy Ylivieska,2009599-1,2020,8 000,0,0,0,8 000
A-Rental Oy,2345923-6,2020,13 230,0,0,0,13 230
A-SA PEURA OY,2141426-1,2020,10 000,0,0,0,10 000
A-SET Oy,3144708-3,2023,6 000,0,0,0,6 000
A-Specialputki Oy,2843202-4,2020,7 840,0,0,0,7 840
A-Studio Parturi-kampaamo Oy,2779647-5,2020,10 000,0,0,0,10 000
A-T Tiimi Oy,0748528-2,2020,80 000,0,0,0,80 000
A-Tekniikka Oy,0654478-9,2010,188 000,0,0,0,188 000
A-Tekniikka Oy,0654478-9,2020,106 000,0,0,0,106 000
A-Teline Nordic Oy,2170765-4,2020,49 612,0,0,0,49 612
A-Tuottajat Oy,1637300-4,2018,275 000,0,0,0,275 000
A-Works Oy,2962659-2,2019,6 200,0,0,0,6 200
A. Berglund Ab,0796764-4,2020,100 000,0,0,0,100 000
A. Hirvonen Oy,1068877-7,2020,77 280,0,0,0,77 280
A. Johansson Oy,0937848-0,2020,23 800,0,0,0,23 800
A. Kahma,1362741-9,2017,2 687,0,0,0,2 687
A. Kaukua Oy,3093891-3,2020,10 000,0,0,0,10 000
A. Kyllönen Oy,0186191-0,2022,4 535,0,0,0,4 535
A. Lamminmäki Oy,0975291-1,2020,110 000,0,0,0,110 000
A. Niemisen Maalausliike Oy,0215232-3,2017,2 500,0,0,0,2 500
A. Pietiläinen Oy,2908401-7,2020,58 000,0,0,0,58 000
A. Piipponen Oy,0209414-3,2020,10 000,0,0,0,10 000
A. Reponen Oy,1970574-8,2015,16 400,0,0,0,16 400
A. Tähkänen Oy,1568055-5,2020,90 000,0,0,0,90 000
A. Vesalainen Oy,1644324-4,2018,20 205,0,0,0,20 205
A. Vesalainen Oy,1644324-4,2019,18 365,0,0,0,18 365
A. Viianen Oy,0954410-0,2017,6 200,0,0,0,6 200
A. Viianen Oy,0954410-0,2023,1 717,0,0,0,1 717
A. Vogel Oy,0115947-8,2017,6 200,0,0,0,6 200
A. Wennström Oy,0420184-6,2020,100 000,0,0,0,100 000
A.A Solutions Oy,3091667-7,2019,6 200,0,0,0,6 200
A.Ahlström Osakeyhtiö,1670018-3,2010,79 400,0,0,0,79 400
